centre_id,address,geometry,operating_hours
77,100 Galloway Rd,MULTIPOINT ((-79.193338505 43.757428446)),Morning only
78,30 Turnberry Ave,MULTIPOINT ((-79.464022984 43.678930666)),Full day
79,30 George Anderson Dr,MULTIPOINT ((-79.478948061 43.705453527)),Full day
80,85 Mount Olive Dr,MULTIPOINT ((-79.589145177 43.745892048)),Weekend available
81,800 Burnhamthorpe Rd,MULTIPOINT ((-79.581298369 43.64028992)),Morning only
82,50 Chapman Ave,MULTIPOINT ((-79.299760621 43.7010489)),Full day
83,11 Gadsby Dr,MULTIPOINT ((-79.254062144 43.7382332262)),Full day
84,9 Grenoble Dr,MULTIPOINT ((-79.332759752 43.715431088)),Full day
85,123 Guildwood Pky,MULTIPOINT ((-79.199540244 43.747009016)),Morning only
86,25 Halbert Place,MULTIPOINT ((-79.231736063 43.727649597)),Full day
87,1884 Davenport Rd,MULTIPOINT ((-79.453749486 43.670812011)),Full day
88,14 Centre St,MULTIPOINT ((-79.221409074 43.743801726)),Full day
89,3550 Ellesmere Rd,MULTIPOINT ((-79.1752378239 43.7900692631)),Full day
90,35 Glendower Circt,MULTIPOINT ((-79.30026234 43.794419906)),Full day
91,3530 Sheppard Ave E,MULTIPOINT ((-79.302695677 43.781293598)),Full day
92,285 Indian Road Cres,MULTIPOINT ((-79.460077902 43.662528729)),Full day
93,231 Ava Rd,MULTIPOINT ((-79.4363085191 43.6949553843)),Full day
94,1900 Sheppard Ave W,MULTIPOINT ((-79.509714967 43.740025128)),Weekend available
95,1911 Finch Ave W,MULTIPOINT ((-79.515458385 43.756929225)),Evening available
96,1906 Sheppard Ave W,MULTIPOINT ((-79.510032423 43.739951803)),Other
97,1541 Jane St,MULTIPOINT ((-79.501916107 43.698383345)),Weekend available
98,48 Thorncliffe Park Dr,MULTIPOINT ((-79.342736826 43.702947408)),Morning only
99,95 Mimico Ave,MULTIPOINT ((-79.494418001 43.611855735)),Morning only
100,431 McCowan Rd,MULTIPOINT ((-79.239886514 43.744044251)),Full day
101,270 Manse Rd,MULTIPOINT ((-79.175497546 43.767044034)),Full day
102,26 Joyce Pky,MULTIPOINT ((-79.463757489 43.709775397)),Afternoon only
103,200 Wolverleigh Blvd,MULTIPOINT ((-79.3225159292 43.6856915884)),Weekend available
104,90 Kingslake Rd,MULTIPOINT ((-79.345530245 43.78478191)),Full day
105,1 York Rd,MULTIPOINT ((-79.550789124 43.697866656)),Full day
106,25 Seminole Ave,MULTIPOINT ((-79.249785031 43.74529228)),Full day
