,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
10,CU,2025-11-01,79.2,-1.98,6.01,"Guerrero Jr., Vladimir",665489,660271,,foul,,,,,9,Foul,W,R,R,TOR,LAD,S,,,3,1,2025,0.88,-1.21,0.63,1.88,,,543807.0,1,1,Bot,,,,,,,4.073602220236377,-115.23282632036847,0.1164955743390288,6.9488845741160965,24.1702454745406,-43.09495500087766,3.67,1.61,2.0,82.8,-43.0,79.2,2604,6.6,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.88,,,,,,,,7,5,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,46,-0.001,-0.085,74.1,8.1,,0.085,88.0,0,0,0.5505129551270388,0.5505129551270388,30,26,31,26,1,0,4,1,,,4.88,-0.88,-0.88,42.1,3.365915257769489,-24.20702586006696,26.43607233854624,41.27690775360301,42.538031061788885
11,FF,2025-11-01,100.2,-2.22,5.59,"Guerrero Jr., Vladimir",665489,660271,,ball,,,,,14,Ball,W,R,R,TOR,LAD,B,,,2,1,2025,-0.42,1.38,1.39,1.2,,,543807.0,1,1,Bot,,,,,,,11.029147977680172,-145.27434027304776,-10.078709851678225,-8.527320939038008,34.77045931622722,-10.34481394965078,3.63,1.69,,,,100.8,2581,6.9,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.62,,,,,,,,7,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,-0.001,0.109,,,,-0.109,,0,0,0.5505129551270388,0.5505129551270388,30,26,31,26,1,0,4,1,,,0.91,0.42,0.42,32.9,,,,,
12,CH,2025-11-01,85.5,2.17,6.44,"Guerrero Jr., Vladimir",665489,605483,field_out,hit_into_play,,,,,12,Vladimir Guerrero Jr. flies out sharply to center fielder Tommy Edman.,W,R,L,TOR,LAD,X,8.0,fly_ball,3,0,2025,1.17,0.87,0.87,3.1,,,,0,9,Bot,131.84,47.27,,,,,-5.473737775318376,-124.28732781466772,-3.300168926996949,13.26186258043103,27.056076119871243,-22.760694254054965,3.67,1.61,375.0,100.5,32.0,85.8,1813,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.79,0.403,0.762,0.0,1.0,0.0,0.0,6.0,77,4,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,133,-0.062,-0.529,78.8,7.4,1.463,0.529,100.5,0,0,0.6385866145035767,0.6385866145035767,32,26,33,26,1,4,3,1,,,2.28,1.17,-1.17,56.6,7.598310131115073,2.3093929546449656,21.78374490621305,44.806689724758726,32.7258026627149
13,CU,2025-11-01,78.6,-1.83,6.1,"Guerrero Jr., Vladimir",665489,660271,,swinging_strike,,,,,8,Swinging Strike,W,R,R,TOR,LAD,S,,,2,0,2025,1.03,-1.16,-0.13,1.75,,,543807.0,1,1,Bot,,,,,,,1.7982324552200069,-114.40791227843172,-0.3215095307998439,8.517080873875177,24.478143805710385,-42.44223124130453,3.67,1.61,,,,78.4,2608,6.5,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.99,,,,,,,,7,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,41,-0.001,-0.062,75.6,8.4,,0.062,,0,0,0.5505129551270388,0.5505129551270388,30,26,31,26,1,0,4,1,,,4.9,-1.03,-1.03,45.0,18.71366575082265,-45.12286383447636,22.871064406542303,31.29266789430362,63.932407510968616
14,FF,2025-11-01,99.8,-2.25,5.65,"Guerrero Jr., Vladimir",665489,660271,,ball,,,,,14,Ball,W,R,R,TOR,LAD,B,,,1,0,2025,-0.33,1.33,0.7,0.94,,,543807.0,1,1,Bot,,,,,,,8.945587889730364,-144.7969860866246,-10.747303053775708,-6.723248496153673,34.491170856772776,-11.089650169921972,3.66,1.71,,,,100.3,2682,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.74,,,,,,,,7,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217,-0.001,0.068,,,,-0.068,,0,0,0.5505129551270388,0.5505129551270388,30,26,31,26,1,0,4,1,,,0.98,0.33,0.33,34.2,,,,,
15,SL,2025-11-01,88.8,2.01,6.47,"Guerrero Jr., Vladimir",665489,605483,,ball,,,,,13,Ball,W,R,L,TOR,LAD,B,,,2,0,2025,-0.14,0.46,-0.89,1.08,,,,0,9,Bot,,,,,,,-6.866321611158252,-128.95646690217643,-8.14928444558798,-0.0376458867844924,27.55669346248784,-25.458450962311165,3.67,1.64,,,,89.4,2468,6.8,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.68,,,,,,,,77,3,Slider,4,4,4,4,4,4,4,4,Standard,Standard,181,-0.005,0.152,,,,-0.152,,0,0,0.6385866145035767,0.6385866145035767,32,26,33,26,1,4,3,1,,,2.45,-0.14,0.14,56.6,,,,,
16,SL,2025-11-01,90.1,2.0,6.51,"Guerrero Jr., Vladimir",665489,605483,,ball,,,,,14,Ball,W,R,L,TOR,LAD,B,,,1,0,2025,0.01,0.57,0.65,1.21,,,,0,9,Bot,,,,,,,-3.3886712427640884,-130.96510414396647,-8.423480647634609,0.9292149596379516,29.6540896712552,-23.98120917986768,3.67,1.66,,,,90.5,2416,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.76,,,,,,,,77,2,Slider,4,4,4,4,4,4,4,4,Standard,Standard,162,-0.005,0.077,,,,-0.077,,0,0,0.6385866145035767,0.6385866145035767,32,26,33,26,1,4,3,1,,,2.26,0.01,-0.01,56.5,,,,,
17,SL,2025-11-01,91.3,-1.98,6.06,"Guerrero Jr., Vladimir",665489,660271,,ball,,,,,14,Ball,W,R,R,TOR,LAD,B,,,0,0,2025,0.11,0.17,0.38,1.27,,,543807.0,1,1,Bot,,,,,,,5.739573306217132,-132.86584866866448,-6.592895856185731,0.108553572418268,27.349895373249524,-28.977601064593426,3.67,1.62,,,,92.1,2641,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.83,,,,,,,,7,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,137,-0.001,0.035,,,,-0.035,,0,0,0.5505129551270388,0.5505129551270388,30,26,31,26,1,0,4,1,,,2.55,-0.11,-0.11,43.4,,,,,
18,CH,2025-11-01,83.9,2.33,6.36,"Guerrero Jr., Vladimir",665489,605483,,ball,,,,,14,Ball,W,R,L,TOR,LAD,B,,,0,0,2025,1.22,0.7,1.42,2.51,,,,0,9,Bot,,,,,,,-4.535161848718018,-122.0134978339902,-3.8285679741883736,13.043867701552111,26.99252424207547,-24.676958916075044,3.67,1.75,,,,84.1,1754,6.7,813024,669257,518692,500743,571970,605141,571771,669242,606192,53.76,,,,,,,,77,1,Changeup,4,4,4,4,4,4,4,4,Standard,Standard,127,-0.005,0.041,,,,-0.041,,0,0,0.6385866145035767,0.6385866145035767,32,26,33,26,1,4,3,1,,,2.58,1.22,-1.22,54.9,,,,,
19,SI,2025-11-01,97.4,-1.56,5.87,"Guerrero Jr., Vladimir",665489,607192,field_out,hit_into_play,,,,,5,Vladimir Guerrero Jr. lines out to center fielder Tommy Edman.,W,R,R,TOR,LAD,X,8.0,line_drive,3,1,2025,-0.95,1.25,0.27,2.41,,665926.0,543807.0,2,4,Bot,150.5,69.13,,,,,7.314731481331556,-141.47983648831612,-6.766273924892504,-14.4695394372058,35.16725558604489,-13.96766148191358,3.67,1.61,328.0,93.5,20.0,99.8,2540,7.9,813024,669257,518692,500743,571970,605141,571771,669242,606192,52.61,0.254,0.258,0.0,1.0,0.0,0.0,4.0,37,5,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,192,-0.02,-0.392,79.0,7.6,0.374,0.392,93.5,2,2,0.7814697816736415,0.7814697816736415,31,26,32,26,1,2,1,1,,,1.18,0.95,0.95,52.8,-2.7121981382825258,4.433168700950347,29.442086641358447,38.26134760707802,29.036379843278286
