neighbourhood_name,children_0_4,median_age_population,median_after_tax_income_2020_over_15,after_tax_bottom_half_distribution,    In bottom decile,    In second decile,    In third decile,    In fourth decile,    In fifth decile,    In sixth decile,    In seventh decile,    In eighth decile,    In ninth decile,    In top decile,inequality_index,count_of_children,single_moms,is_nia,AREA_NAME,childcare_centres_count,centres_per_100_children,centres_per_1000_children
Greenwood-Coxwell,915,38.8,40000,6140,1655,1115,1245,1065,1065,945,1415,1420,1645,2555,0.3,3275,575,False,Greenwood-Coxwell,4.0,0.4371584699453552,4.371584699453552
Danforth,500,41.6,40800,3065,920,705,440,555,440,635,975,1115,1225,2285,0.3,2415,270,False,Danforth,2.0,0.4,4.0
Playter Estates-Danforth,320,42.8,42400,2715,725,620,460,555,350,455,500,675,1035,2295,0.4,1705,200,False,,0.0,0.0,0.0
North Riverdale,480,43.2,46800,3575,895,750,580,740,620,705,740,690,1590,3990,0.4,2805,375,False,North Riverdale,1.0,0.20833333333333334,2.0833333333333335
Blake-Jones,365,40.4,34800,3585,1025,745,745,545,520,435,695,420,825,1515,0.4,1660,430,False,Blake-Jones,2.0,0.547945205479452,5.47945205479452
South Riverdale,1460,38.8,42800,10905,3190,2320,1960,1665,1775,2065,2005,2425,3620,6790,0.3,5630,1000,False,South Riverdale,5.0,0.3424657534246575,3.4246575342465753
Cabbagetown-South St. James Town,380,45.2,41600,5100,1680,1070,850,775,725,840,910,835,1035,2290,0.4,1370,285,False,,0.0,0.0,0.0
Regent Park,600,35.2,31400,8360,2450,1995,1515,1415,990,840,910,830,825,980,0.3,2040,805,True,Regent Park,3.0,0.5,5.0
Moss Park,645,35.6,38800,11940,4855,2445,2030,1440,1170,1215,1380,1445,1835,3675,0.4,1735,710,False,Moss Park,4.0,0.6201550387596899,6.2015503875969
North St. James Town,725,36.4,31600,12990,3940,2850,2310,2325,1565,1080,1330,1080,1115,945,0.3,2840,835,False,,0.0,0.0,0.0
Kensington-Chinatown,490,34.8,30200,11445,4730,2230,1715,1435,1330,1060,1230,1335,1205,1840,0.4,1805,675,False,Kensington-Chinatown,5.0,1.0204081632653061,10.204081632653061
University,165,36,39200,3115,1105,630,470,425,485,415,365,450,585,1500,0.4,900,175,False,,0.0,0.0,0.0
Palmerston-Little Italy,365,36.8,38800,5815,1775,1180,1080,770,1010,1000,1050,905,1435,2925,0.4,2095,360,False,,0.0,0.0,0.0
Trinity-Bellwoods,500,38,37200,7380,2070,1615,1180,1345,1175,1065,1220,1185,1510,3045,0.4,2505,550,False,Trinity-Bellwoods,3.0,0.6,6.0
Dufferin Grove,385,38,36800,5575,1340,1235,1220,910,870,990,1040,1255,1085,1270,0.3,1990,335,False,Dufferin Grove,1.0,0.2597402597402597,2.5974025974025974
Little Portugal,570,35.2,40800,7305,1770,1775,1150,1445,1165,1260,1380,1525,1735,2270,0.3,2255,505,False,Little Portugal,3.0,0.5263157894736842,5.263157894736842
South Parkdale,705,37.2,32800,13705,3880,3065,2475,2200,2085,1555,1165,1435,1205,1435,0.3,2695,955,True,South Parkdale,2.0,0.28368794326241137,2.8368794326241136
Roncesvalles,680,39.2,40800,6035,1750,1335,925,1035,995,965,1085,1410,2010,3115,0.3,3070,450,False,Roncesvalles,2.0,0.29411764705882354,2.941176470588235
High Park-Swansea,965,40.8,49200,7380,1730,1455,1500,1365,1335,1665,1675,2275,2940,6725,0.4,5070,780,False,,0.0,0.0,0.0
High Park North,955,39.2,42800,9080,2385,1700,1705,1770,1510,1755,1775,1970,2735,4535,0.3,4260,715,False,,0.0,0.0,0.0
Runnymede-Bloor West Village,600,41.6,52000,2475,510,435,485,465,585,610,715,1125,1875,3320,0.3,3130,270,False,,0.0,0.0,0.0
Junction Area,705,39.6,42000,5695,1200,1175,1120,1080,1110,1250,1375,1545,1895,2245,0.3,3160,505,False,Junction Area,3.0,0.425531914893617,4.25531914893617
Weston-Pelham Park,585,39.2,32800,5555,1295,1025,1010,970,1265,895,1410,970,1200,645,0.3,2380,580,True,Weston-Pelham Park,5.0,0.8547008547008548,8.547008547008549
Corso Italia-Davenport,660,40,37200,5840,1035,1260,1145,1240,1155,1010,1375,1655,1490,1830,0.3,3155,600,False,Corso Italia-Davenport,1.0,0.15151515151515152,1.5151515151515151
Wychwood,590,41.2,39200,5460,1365,1200,930,980,990,970,1070,1310,1315,2675,0.4,2745,580,False,Wychwood,1.0,0.1694915254237288,1.694915254237288
Annex,880,39.6,45600,12405,4300,2225,1975,1985,1920,1590,1970,2005,2715,8620,0.5,4085,735,False,Annex,2.0,0.22727272727272727,2.2727272727272725
Casa Loma,345,46,51600,3545,1185,720,570,490,580,605,805,905,1175,4315,0.6,1935,330,False,,0.0,0.0,0.0
Yonge-St. Clair,470,44.8,52800,4335,1170,795,780,705,895,705,900,1150,1385,4420,0.5,2035,335,False,,0.0,0.0,0.0
Rosedale-Moore Park,635,50,56800,5210,1750,1060,755,830,810,950,1160,1510,2155,9100,0.6,3970,510,False,,0.0,0.0,0.0
Mount Pleasant East,845,42,50400,4745,1260,840,840,895,905,905,1350,1325,1975,6065,0.4,4380,480,False,,0.0,0.0,0.0
Yonge-Eglinton,495,38.8,48000,4370,1290,755,785,775,770,725,895,1030,1495,3895,0.4,2845,345,False,,0.0,0.0,0.0
Forest Hill South,335,46,52000,3495,1035,705,690,500,560,575,675,760,1020,4340,0.6,2245,250,False,,0.0,0.0,0.0
Forest Hill North,590,42.4,40000,5095,1220,975,885,1105,915,960,920,800,945,3575,0.4,3010,470,False,,0.0,0.0,0.0
Lawrence Park South,550,42.8,56800,3060,1045,500,525,430,565,660,690,1020,1375,8155,0.5,4330,400,False,,0.0,0.0,0.0
Lawrence Park North,755,42,57600,2795,720,460,465,500,655,655,865,1165,1850,7345,0.4,4815,405,False,,0.0,0.0,0.0
Humewood-Cedarvale,655,39.2,40400,5860,1440,1110,1305,950,1050,685,1095,1050,1495,3660,0.4,3010,495,False,,0.0,0.0,0.0
